[prod_bias=0.1 lex_bias=0.01] -> /Users/milamarcheva/Desktop/inside-outside/milas_grammars/results/productions_NVA_VB_pb0p1_lb0p01_results.txt
# rule_bias_default (-a) = 0, stoptol (-s) = 1e-07, minruleprob (-p) = 1e-20, maxlen (-l) = 0, minits (-m) = 10, maxits = (-n) = 50, annealstart (-b) = 1, annealstop (-B) = 1, nanneal (-N) = 0, jitter0 (-j) = 0, jitter (-J) = 0, VariationalBayes (-V) = 1, wordscale (-W) = 10, randseed (-S) = 97, debuglevel (-d) = 1000, nruns (-R) = 1
# Run 0
# Iteration	temperature	nrules	-logP	bits/token
0	1	25341	2.54328e+07	22.9017
1	1	25341	1.16693e+07	10.508
2	1	21361	1.15591e+07	10.4087
3	1	17941	1.14814e+07	10.3388
4	1	16218	1.14581e+07	10.3178
5	1	15267	1.14626e+07	10.3219
6	1	14728	1.14677e+07	10.3265
7	1	14354	1.14687e+07	10.3273
8	1	14077	1.14668e+07	10.3256
9	1	13909	1.14616e+07	10.321
10	1	13778	1.14527e+07	10.3129
11	1	13683	1.14395e+07	10.301
12	1	13603	1.14231e+07	10.2863
13	1	13525	1.14063e+07	10.2712
14	1	13456	1.13916e+07	10.2579
15	1	13381	1.13803e+07	10.2477
16	1	13299	1.13728e+07	10.2409
17	1	13240	1.13683e+07	10.2369
18	1	13180	1.13657e+07	10.2345
19	1	13122	1.13639e+07	10.2329
20	1	13025	1.13624e+07	10.2316
21	1	12853	1.13604e+07	10.2298
22	1	12750	1.1359e+07	10.2285
23	1	12624	1.13574e+07	10.2271
24	1	12445	1.13556e+07	10.2255
25	1	12274	1.13541e+07	10.2241
26	1	12129	1.13529e+07	10.223
27	1	12004	1.13519e+07	10.2221
28	1	11898	1.13512e+07	10.2215
29	1	11834	1.13506e+07	10.221
30	1	11758	1.135e+07	10.2205
31	1	11679	1.13495e+07	10.22
32	1	11603	1.1349e+07	10.2195
33	1	11542	1.13485e+07	10.2191
34	1	11460	1.1348e+07	10.2186
35	1	11386	1.13475e+07	10.2182
36	1	11319	1.1347e+07	10.2177
37	1	11242	1.13465e+07	10.2172
38	1	11177	1.13459e+07	10.2167
39	1	11109	1.13453e+07	10.2162
40	1	11057	1.13446e+07	10.2155
41	1	10983	1.13437e+07	10.2148
42	1	10929	1.13428e+07	10.2139
43	1	10882	1.13416e+07	10.2129
44	1	10821	1.134e+07	10.2115
45	1	10767	1.1338e+07	10.2096
46	1	10717	1.13352e+07	10.2071
47	1	10644	1.13316e+07	10.2038
48	1	10591	1.13267e+07	10.1995
49	1	10535	1.13205e+07	10.1939
50	1	10481	1.1313e+07	10.1871
51	1	10428	1.13044e+07	10.1793
52	1	10381	1.12952e+07	10.1711
53	1	10337	1.12862e+07	10.163
54	1	10267	1.12779e+07	10.1555
55	1	10218	1.12708e+07	10.1491
56	1	10165	1.12648e+07	10.1438
57	1	10105	1.12601e+07	10.1395
58	1	10054	1.12564e+07	10.1361
59	1	10012	1.12534e+07	10.1335
60	1	9969	1.12511e+07	10.1314
61	1	9933	1.12492e+07	10.1297
62	1	9889	1.12476e+07	10.1282
63	1	9853	1.12463e+07	10.127
64	1	9819	1.12451e+07	10.126
65	1	9803	1.1244e+07	10.1249
66	1	9764	1.12429e+07	10.124
67	1	9727	1.12419e+07	10.1231
68	1	9706	1.12409e+07	10.1222
69	1	9680	1.12399e+07	10.1213
70	1	9661	1.12391e+07	10.1205
71	1	9644	1.12383e+07	10.1198
72	1	9633	1.12375e+07	10.1192
73	1	9616	1.12369e+07	10.1186
74	1	9602	1.12364e+07	10.1182
75	1	9592	1.1236e+07	10.1178
76	1	9582	1.12356e+07	10.1174
77	1	9568	1.12353e+07	10.1172
78	1	9560	1.12351e+07	10.1169
79	1	9555	1.12349e+07	10.1168
80	1	9546	1.12347e+07	10.1166
81	1	9538	1.12346e+07	10.1165
82	1	9535	1.12344e+07	10.1164
83	1	9529	1.12343e+07	10.1163
84	1	9521	1.12342e+07	10.1162
85	1	9515	1.12341e+07	10.1161
86	1	9505	1.1234e+07	10.116
87	1	9501	1.12339e+07	10.1159
88	1	9496	1.12339e+07	10.1158
89	1	9487	1.12338e+07	10.1158
90	1	9483	1.12337e+07	10.1157
91	1	9482	1.12337e+07	10.1157
92	1	9473	1.12336e+07	10.1157
93	1	9473	1.12336e+07	10.1156
# run 0, entropy 10.1156, 9473 rules
